id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
a0066419,2066419,664191999NR13,66419,,N,N,,,1.563959685,1330.374145,MCA,DES=+2066419,1999-02-02-09-45-18,2000-01-01-00-00-00
bK09P01R,3465691,2009PR1,2009 PR1,,Y,N,,,1.024420254,663.3552397,AMO,DES=+3465691,1999-07-19-03-52-06,2000-01-01-00-00-00
a0046773,2046773,467731998HZ12,46773,,N,N,,,1.630483015,1235.120554,MCA,DES=+2046773,1999-02-26-05-16-36,2000-01-01-00-00-00
bK17U45F,3788904,2017UF45,2017 UF45,,N,N,,,1.816968776,967.6540101,IMB,DES=+3788904,1999-05-04-02-04-33,2000-01-01-00-00-00
bK12D54E,3600230,2012DE54,2012 DE54,,N,N,,,1.326630811,1021.052761,MCA,DES=+3600230,1999-04-20-17-41-00,2000-01-01-00-00-00
a0506427,2506427,5064272000RE34,506427,,N,N,,,1.631272034,1541.474199,MCA,DES=+2506427,1998-12-11-15-09-18,2000-01-01-00-00-00
bK12H74U,3631112,2012HU74,2012 HU74,,N,N,,,1.806489648,984.2799325,IMB,DES=+3631112,1999-04-29-22-19-13,2000-01-01-00-00-00
a0455286,2455286,4552862002CL44,455286,,N,N,,,1.837591325,1005.274306,IMB,DES=+2455286,1999-04-24-16-21-14,2000-01-01-00-00-00
bK14Y51K,3778834,2014YK51,2014 YK51,,N,N,,,1.745568444,941.7547861,IMB,DES=+3778834,1999-05-10-13-28-16,2000-01-01-00-00-00
bK16S35R,3760070,2016SR35,2016 SR35,,N,N,,,1.593368392,1236.57624,MCA,DES=+3760070,1999-02-25-20-32-33,2000-01-01-00-00-00
bK14P46H,3680173,2014PH46,2014 PH46,,N,N,,,1.58866773,1575.020074,MCA,DES=+3680173,1998-12-03-05-52-47,2000-01-01-00-00-00
bK11UD5P,3584807,2011UP135,2011 UP135,,N,N,,,1.756497403,978.6397706,IMB,DES=+3584807,1999-05-01-08-09-40,2000-01-01-00-00-00
a0188077,2188077,1880772001XW47,188077,,N,N,,,1.811963448,989.3127851,IMB,DES=+2188077,1999-04-28-16-07-23,2000-01-01-00-00-00
bK14ON0S,3683812,2014OS230,2014 OS230,,N,N,,,1.641434901,1518.542336,MCA,DES=+3683812,1998-12-17-08-44-46,2000-01-01-00-00-00
bK06BR7X,3422738,2006BX277,2006 BX277,,N,N,,,1.740396041,1018.630338,IMB,DES=+3422738,1999-04-21-08-13-04,2000-01-01-00-00-00
a0452327,2452327,4523272000SX162,452327,,N,N,,,1.303322945,1335.39473,MCA,DES=+2452327,1999-02-01-03-37-53,2000-01-01-00-00-00
bK16S00A,3759664,2016SA,2016 SA,,Y,N,,,0.675023695,693.7652429,APO,DES=+3759664,1999-07-11-13-24-30,2000-01-01-00-00-00
bK18Q00U,3826893,2018QU,2018 QU,,Y,N,,,1.166012663,901.7446637,AMO,DES=+3826893,1999-05-20-13-31-55,2000-01-01-00-00-00
bK06Sg3X,3828540,2006SX423,2006 SX423,,N,N,,,1.589409296,1205.163765,MCA,DES=+3828540,1999-03-05-17-01-02,2000-01-01-00-00-00
a0077997,2077997,779972002JD43,77997,,N,N,,,1.713669546,967.1270129,IMB,DES=+2077997,1999-05-04-05-14-16,2000-01-01-00-00-00
bK11S22G,3578950,2011SG22,2011 SG22,,N,N,,,1.756807015,893.117178,IMB,DES=+3578950,1999-05-22-17-17-48,2000-01-01-00-00-00
a0516264,2516264,5162642016VC,516264,,N,N,,,1.64403801,1215.236531,MCA,DES=+2516264,1999-03-03-04-34-50,2000-01-01-00-00-00
bK10X02T,3571461,2010XT2,2010 XT2,,N,N,,,1.742021258,954.7294602,IMB,DES=+3571461,1999-05-07-07-37-23,2000-01-01-00-00-00
bK12L16L,3777129,2012LL16,2012 LL16,,N,N,,,1.834118349,950.9613851,IMB,DES=+3777129,1999-05-08-06-13-54,2000-01-01-00-00-00
bK08V00M,3435552,2008VM,2008 VM,,Y,N,,,0.810291037,563.0213756,APO,DES=+3435552,1999-08-13-05-52-18,2000-01-01-00-00-00
bK15Y21X,3780206,2015YX21,2015 YX21,,N,N,,,1.739776198,989.1977633,IMB,DES=+3780206,1999-04-28-16-48-48,2000-01-01-00-00-00
a0234330,2234330,2343302001EF,234330,,N,N,,,1.643313756,1621.814365,MCA,DES=+2234330,1998-11-21-13-06-50,2000-01-01-00-00-00
a0302100,2302100,3021002001FA97,302100,,N,N,,,1.616461724,1668.37019,MCA,DES=+2302100,1998-11-09-21-46-44,2000-01-01-00-00-00
a0374849,2374849,3748492006VO1,374849,,N,N,,,1.604664303,1299.855277,MCA,DES=+2374849,1999-02-10-00-52-06,2000-01-01-00-00-00
bK16AJ8S,3780268,2016AS198,2016 AS198,,N,N,,,1.777224789,957.119335,IMB,DES=+3780268,1999-05-06-17-17-02,2000-01-01-00-00-00
bK10VL8O,3656868,2010VO218,2010 VO218,,N,N,,,1.61823163,1155.64658,MCA,DES=+3656868,1999-03-18-02-07-13,2000-01-01-00-00-00
a0384602,2384602,3846022010RM167,384602,,N,N,,,1.797494965,1010.420966,IMB,DES=+2384602,1999-04-23-09-28-27,2000-01-01-00-00-00
