id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class
dJ31O010,1001016,C/1931O1Nagata,1931 O1,Nagata,,,,C,1.0469030000000001,130394.25,COM
dJ31P010,1001017,C/1931P1Ryves,1931 P1,Ryves,,,,C,0.074924,,COM
dJ32G010,1001018,C/1932G1HoughtonEnsor,1932 G1,Houghton-Ensor,,,,C,1.2544309999999999,110305.5,COM
dJ32H010,1001019,C/1932H1Carrasco,1932 H1,Carrasco,,,,C,2.3306150000000003,,PAR
dJ32M010,1001020,C/1932M1Newman,1932 M1,Newman,,,,C,1.6474119999999999,,HYP
dJ32M020,1001021,C/1932M2Geddes,1932 M2,Geddes,,,,C,2.313581,,HYP
dJ32P010,1001022,C/1932P1PeltierWhipple,1932 P1,Peltier-Whipple,,,,C,1.037198,106287.75,COM
dJ32Y010,1001023,C/1932Y1DodwellForbes,1932 Y1,Dodwell-Forbes,,,,C,1.130788,95695.5,COM
dJ33D010,1001024,C/1933D1Peltier,1933 D1,Peltier,,,,C,1.000691,,PAR
dJ35A010,1001025,C/1935A1Johnson,1935 A1,Johnson,,,,C,0.811148,329090.25,COM
dJ35M010,1001026,C/1935M1Jackson,1935 M1,Jackson,,,,C,3.4857,,PAR
dJ35Q010,1001027,C/1935Q1VanBiesbroeck,1935 Q1,Van Biesbroeck,,,,C,4.043409,,HYP
dJ36K010,1001028,C/1936K1Peltier,1936 K1,Peltier,,,,C,1.099868,,COM
dJ36O010,1001029,C/1936O1KahoKozikLis,1936 O1,Kaho-Kozik-Lis,,,,C,0.518403,324342.0,COM
dJ37C010,1001030,C/1937C1Whipple,1937 C1,Whipple,,,,C,1.733791,,HYP
dJ37D010,1001031,C/1937D1Wilk,1937 D1,Wilk,Y,,,C,0.618937,68301.75,HTC
dJ37N010,1001032,C/1937N1Finsler,1937 N1,Finsler,,,,C,0.8627440000000001,,COM
dJ37P010,1001033,C/1937P1Hubble,1937 P1,Hubble,,,,C,1.953657,218784.75,COM
dJ39B010,1001034,C/1939B1KozikPeltier,1939 B1,Kozik-Peltier,,,,C,0.716496,,COM
dJ39H010,1001035,C/1939H1JurlofAchmarofHassel,1939 H1,Jurlof-Achmarof-Hassel,,,,C,0.528266,,COM
dJ39V010,1001036,C/1939V1Friend,1939 V1,Friend,,,,C,0.945209,,COM
dJ40O010,1001037,C/1940O1WhippleParaskevopoulos,1940 O1,Whipple-Paraskevopoulos,,,,C,1.082228,155231.25,COM
dJ40R020,1001038,C/1940R2Cunningham,1940 R2,Cunningham,,,,C,0.367751,,HYP
dJ40S010,1001039,C/1940S1OkabayasiHonda,1940 S1,Okabayasi-Honda,,,,C,1.061768,,HYP
dJ41B010,1001040,C/1941B1FriendReeseHonda,1941 B1,Friend-Reese-Honda,,,,C,0.9418639999999999,129663.75,COM
dJ41B020,1001041,C/1941B2deKockParaskevopoulos,1941 B2,de Kock-Paraskevopoulos,,,,C,0.790033,,COM
dJ41K010,1001042,C/1941K1vanGent,1941 K1,van Gent,,,,C,0.8747889999999999,,HYP
dJ42C010,1001043,C/1942C1WhippleBernasconiKulin,1942 C1,Whipple-Bernasconi-Kulin,,,,C,1.445303,,HYP
dJ42C020,1001044,C/1942C2Oterma,1942 C2,Oterma,,,,C,4.113405,,HYP
dJ42E00A,1001045,C/1942EAVaisala,1942 EA,Vaisala,Y,,,C,1.287079,31192.35,HTC
dJ42X010,1001046,C/1942X1WhippleFedtkeTevzadze,1942 X1,Whipple-Fedtke-Tevzadze,,,,C,1.353647,,COM
dJ43R010,1001047,C/1943R1Daimaca,1943 R1,Daimaca,,,,C,0.7583,,PAR
dJ43W010,1001048,C/1943W1vanGentPeltierDaimaca,1943 W1,van Gent-Peltier-Daimaca,,,,C,0.8743,,PAR
dJ44H010,1001049,C/1944H1Vaisala,1944 H1,Vaisala,,,,C,2.4108560000000003,,COM
dJ44K020,1001050,C/1944K2vanGent,1944 K2,van Gent,,,,C,2.2259330000000004,,HYP
dJ45L010,1001051,C/1945L1duToit,1945 L1,du Toit,,,,C,0.9980629999999999,,PAR
dJ45W010,1001052,C/1945W1FriendPeltier,1945 W1,Friend-Peltier,,,,C,0.19435,,PAR
dJ45X010,1001053,C/1945X1duToit,1945 X1,du Toit,,,,C,0.007515999999999999,,PAR
dJ46C010,1001054,C/1946C1Timmers,1946 C1,Timmers,,,,C,1.724129,,HYP
dJ46K010,1001055,C/1946K1PajdusakovaRotbartWeber,1946 K1,Pajdusakova-Rotbart-Weber,,,,C,1.018252,,PAR
dJ46P010,1001056,C/1946P1Jones,1946 P1,Jones,,,,C,1.1359793341682152,,HYP
dJ46U010,1001057,C/1946U1Bester,1946 U1,Bester,,,,C,2.407673900521297,,HYP
dJ47F010,1001058,C/1947F1RondaninaBester,1947 F1,Rondanina-Bester,,,,C,0.5598122937875915,1076255.1531973958,COM
dJ47F020,1001059,C/1947F2Becvar,1947 F2,Becvar,,,,C,0.961836,,PAR
