J01a   Jewitt, D., H. Aussel, and A. Evans, 2001, The size and albedo of the Kuiper-belt object (20000) Varuna, Nature, 411:446-447.                                                                                                                                                                                                                                             
J02a   Jewitt, D. C., and S. S. Sheppard, 2002, Physical properties of trans-Neptunian object (20000) Varuna, Astron. J., 123:2110-2120.                                                                                                                                                                                                                                         
J92a   Jewitt, D., and J. Luu, 1992, Submillimeter continuum observations of 2060 Chiron, Astron. J., 104:398-404.                                                                                                                                                                                                                                                               
J98a   Jewitt, D., and P. Kalas, 1998, Thermal observations of Centaur 1997 CU26, Astrophys. J. Let., 499:L103-L106.                                                                                                                                                                                                                                                             
K13a   Kiss, C., et al., 2013, A portrait of the extreme solar system object 2012 DR30, Astron. & Astrophys., 555:A3.                                                                                                                                                                                                                                                            
K17a   Kovalenko, I. D., A. Doressoundiram, E. Lellouch, E. Vilenius, T. Muller, and J. Stansberry, 2017, "TNOs are cool": A survey of the trans-Neptunian region. XIII. Statistical analysis of multiple trans-Neptunian objects observed with Herschel Space Observatory, Astron. & Astrophys., 608:A19.                                                                       
L02a   Lellouch, E., R. Moreno, J. L. Ortiz, G. Paubert, A. Doressoundiram, and N. Peixinho, 2002, Coordinated thermal and optical observations of Trans-Neptunian object (20000) Varuna from Sierra Nevada, Astron. & Astrophys., 391:1133-1139.                                                                                                                                
L07a   Lacerda, P., and D. C. Jewitt, 2007, Densities of solar system objects from their rotational light curves, Astron. J., 133:1393-1408.                                                                                                                                                                                                                                     
L09a   Lellouch, E., B. Sicardy, C. de Bergh, H.-U. Kaufl, S. Kassi, and A. Campargue, 2009, Pluto's lower atmosphere structure and methane abundance from high-resolution spectroscopy and stellar occultations, Astron. & Astrophys., 495:L17-L21.                                                                                                                             
L10a   Lellouch, E., et al., 2010, "TNOs are cool":  A survey of the trans-Neptunian region II. The thermal lightcurve of (136108) Haumea, Astron. & Astrophys., 518:L147.                                                                                                                                                                                                       
L10b   Lim, T. J., et al., 2010, "TNOs are cool":  A survey of the trans-Neptunian region III. Thermophysical properties of 90482 Orcus and 136472 Makemake, Astron. & Astrophys., 518:L148.                                                                                                                                                                                     
